# =============================================================================
# HexMaps target_definitions.txt
# =============================================================================
# Comma-separated table of target parameters.
# Spaces and tabs around each comma are ignored; so feel free to align
# columns with extra whitespace for readability.
# All targets that may ever be used should be listed here.
# The targets actually processed are defined in config.txt [sources].
#
# Columns (comma-separated; no header row):
# [required]
#   target       - target name (must match the FITS filename prefix)
#   x_ctr        - x-coordinate of target centre (e.g. RA in degrees; read from FITS header of overlay file)
#   y_ctr        - y-coordinate of target centre (e.g. Dec in degrees; read from FITS header of overlay file)
#   dist_mpc     - Distance (Mpc)
#   e_dist_mpc   - Uncertainty of distance (Mpc)
# [optional]
#   incl_deg     - Inclination (degrees)
#   e_incl_deg   - Uncertainty of inclination (degrees)
#   posang_deg   - Position angle (degrees; East of North)
#   e_posang_deg - Uncertainty of position angle (degrees)
#   r25          - Optical radius r25 (arcmin)
#   e_r25        - Uncertainty of r25 (arcmin)
# =============================================================================
# target,       x_ctr,      y_ctr,      dist_mpc,   e_dist_mpc,   incl_deg,   e_incl_deg,   posang_deg,   e_posang_deg,   r25,     e_r25
ngc3623,        169.7330,   13.0923,    11.30,      0.99,         90.0,       5.0,          173.3,        10.0,           3.82,    0.99
ngc3626,        170.0159,   18.3568,    20.05,      2.22,         46.6,       6.0,          165.2,        2.0,            1.47,    0.38
ngc3627,        170.0625,   12.9915,    11.32,      0.47,         57.3,       1.0,          173.1,        3.6,            5.14,    1.33
ngc3628,        170.0708,   13.5896,    11.30,      0.99,         79.3,       5.0,          103.6,        10.0,           5.52,    1.43
ngc4207,        183.8768,   9.5849,     15.78,      2.18,         64.5,       6.0,          121.9,        2.0,            0.75,    0.19
ngc4254,        184.7068,   14.4164,    13.10,      1.87,         34.4,       1.0,          68.1,         0.5,            2.52,    0.65
ngc4258,        184.7399,   47.3039,    7.58,       0.10,         68.3,       5.0,          150.0,        10.0,           8.49,    2.20
ngc4293,        185.3035,   18.3826,    15.76,      2.21,         65.0,       6.0,          48.3,         2.0,            3.12,    0.81
ngc4298,        185.3865,   14.6061,    14.92,      1.31,         59.2,       0.8,          313.9,        0.7,            1.27,    0.33
ngc4302,        185.4270,   14.5983,    14.92,      1.31,         90.0,       6.0,          178.0,        2.0,            3.00,    0.78
ngc4303,        185.4789,   4.4737,     16.99,      2.78,         23.5,       9.2,          312.4,        2.5,            3.44,    0.89
ngc4321,        185.7289,   15.8223,    15.21,      0.49,         38.5,       2.4,          156.2,        1.7,            3.05,    0.79
ngc4424,        186.7982,   9.4206,     16.20,      0.67,         58.2,       6.0,          88.3,         2.0,            1.52,    0.39
ngc4457,        187.2459,   3.5706,     15.10,      1.88,         17.4,       6.0,          78.7,         2.0,            1.40,    0.36
ngc4459,        187.2502,   13.9785,    15.85,      2.04,         47.0,       5.0,          108.8,        10.0,           2.08,    0.54
ngc4476,        187.4962,   12.3486,    17.54,      2.26,         60.1,       5.0,          27.4,         10.0,           0.85,    0.22
ngc4477,        187.5092,   13.6364,    15.76,      2.21,         33.5,       5.0,          25.7,         10.0,           1.85,    0.48
ngc4496a,       187.9135,   3.9396,     14.86,      1.03,         53.8,       3.5,          51.1,         4.1,            1.69,    0.44
ngc4535,        188.5846,   8.1980,     15.77,      0.36,         44.7,       10.8,         179.7,        1.6,            4.07,    1.05
ngc4536,        188.6128,   2.1882,     16.25,      1.09,         66.0,       2.9,          305.6,        2.3,            3.54,    0.92
ngc4540,        188.7119,   15.5517,    15.76,      2.21,         28.7,       28.7,         12.8,         4.3,            1.10,    0.28
ngc4548,        188.8602,   14.4963,    16.22,      0.37,         38.3,       6.0,          138.0,        2.0,            2.77,    0.72
ngc4565,        189.0866,   25.9875,    12.06,      0.42,         90.0,       5.0,          135.2,        10.0,           8.37,    2.17
ngc4569,        189.2076,   13.1629,    15.76,      2.21,         70.0,       6.0,          18.0,         2.0,            4.56,    1.18
ngc4571,        189.2349,   14.2173,    14.90,      1.03,         32.7,       2.1,          217.5,        0.6,            1.78,    0.46
ngc4579,        189.4314,   11.8182,    21.00,      1.93,         40.2,       5.6,          91.3,         1.6,            2.51,    0.65
ngc4594,        189.9977,   -11.6230,   9.33,       0.45,         79.0,       5.0,          90.0,         10.0,           4.23,    1.09
ngc4596,        189.9831,   10.1762,    15.76,      2.21,         36.6,       5.0,          120.0,        10.0,           1.96,    0.51
ngc4631,        190.5327,   32.5425,    7.34,       0.27,         85.0,       5.0,          86.0,         10.0,           7.23,    1.87
ngc4654,        190.9857,   13.1267,    21.98,      1.11,         55.6,       5.9,          123.2,        1.0,            2.36,    0.61
ngc4689,        191.9399,   13.7627,    15.00,      2.11,         38.7,       2.7,          164.1,        0.3,            1.91,    0.49
ngc4694,        192.0627,   10.9837,    15.76,      2.21,         60.7,       6.0,          143.3,        2.0,            1.00,    0.26
ngc4731,        192.7550,   -6.3928,    13.28,      1.96,         64.0,       6.0,          255.4,        2.0,            3.16,    0.82
ngc4736,        192.7213,   41.1203,    4.41,       0.15,         41.0,       5.0,          296.0,        10.0,           3.87,    1.00
ngc4781,        193.5992,   -10.5371,   11.31,      1.12,         59.0,       3.8,          290.0,        1.3,            1.85,    0.48
ngc4826,        194.1818,   21.6831,    4.41,       0.18,         59.1,       0.9,          293.6,        1.2,            5.26,    1.36
ngc4941,        196.0546,   -5.5515,    15.00,      4.32,         53.4,       1.1,          202.2,        0.6,            1.68,    0.43
ngc4945,        196.3638,   -49.4679,   3.47,       0.12,         90.0,       5.0,          43.8,         10.0,           11.67,   3.02
ngc4951,        196.2821,   -6.4938,    15.00,      3.70,         70.2,       2.2,          91.2,         0.5,            1.57,    0.41
ngc5042,        198.8792,   -23.9839,   16.78,      2.36,         49.4,       8.6,          190.6,        0.8,            2.09,    0.54
ngc5055,        198.9554,   42.0293,    9.02,       0.33,         59.0,       5.0,          102.0,        10.0,           5.92,    1.53
ngc5068,        199.7281,   -21.0387,   5.20,       0.22,         35.7,       10.9,         342.4,        3.2,            3.74,    0.97
ngc5128,        201.3651,   -43.0191,   3.69,       0.13,         45.3,       5.0,          32.2,         10.0,           12.79,   3.31
